converted_country_name,discipline_title,medal_type,medal_count
Ethiopia,Athletics,SILVER,12
Russia,Biathlon,BRONZE,12
France,Sailing,GOLD,12
South Africa,Athletics,SILVER,12
Russia,Figure skating,SILVER,12
Norway,Nordic Combined,GOLD,12
South Korea,Judo,GOLD,11
China,Judo,BRONZE,11
South Korea,Wrestling,GOLD,11
Romania,Athletics,GOLD,11
Italy,Alpine Skiing,SILVER,11
Germany,Boxing,GOLD,11
United States,Cycling Track,GOLD,11
Ukraine,Athletics,BRONZE,11
Russia,Figure skating,GOLD,11
Italy,Shooting,BRONZE,11
Japan,Speed skating,BRONZE,11
United States,Freestyle Skiing,GOLD,11
Kazakhstan,Wrestling,BRONZE,11
Germany,Fencing,SILVER,11
Cuba,Athletics,GOLD,11
Italy,Cross Country Skiing,SILVER,11
Cuba,Athletics,SILVER,11
Denmark,Shooting,SILVER,11
United States,Weightlifting,BRONZE,11
Russia,Diving,BRONZE,11
Germany,Cycling Track,SILVER,11
Czechia,Gymnastics Artistic,GOLD,11
Iran,Wrestling,GOLD,11
Italy,Alpine Skiing,BRONZE,11
South Korea,Archery,GOLD,11
Russia,Canoe Sprint,GOLD,11
Italy,Wrestling,BRONZE,11
Germany,Nordic Combined,GOLD,11
South Korea,Wrestling,SILVER,11
Cuba,Wrestling,GOLD,11
Norway,Ski Jumping,BRONZE,11
Norway,Ski Jumping,GOLD,11
United Kingdom,Tennis,GOLD,11
Czechia,Athletics,SILVER,11
Norway,Alpine Skiing,GOLD,11
Germany,Diving,BRONZE,11
Germany,Canoe Sprint,BRONZE,11
France,Biathlon,GOLD,11
Japan,Weightlifting,BRONZE,10
Sweden,Sailing,BRONZE,10
Germany,Judo,SILVER,10
Germany,Alpine Skiing,BRONZE,10
Hungary,Boxing,GOLD,10
Italy,Gymnastics Artistic,GOLD,10
China,Athletics,GOLD,10
Japan,Athletics,BRONZE,10
Argentina,Boxing,BRONZE,10
United Kingdom,Shooting,SILVER,10
Hungary,Athletics,GOLD,10
Sweden,Shooting,GOLD,10
Kazakhstan,Boxing,BRONZE,10
Cuba,Wrestling,BRONZE,10
Georgia,Wrestling,BRONZE,10
United States,Sailing,SILVER,10
South Korea,Boxing,BRONZE,10
United Kingdom,Sailing,SILVER,10
Norway,Ski Jumping,SILVER,10
Greece,Athletics,BRONZE,10
France,Sailing,SILVER,10
Russia,Judo,GOLD,10
United States,Alpine Skiing,BRONZE,10
France,Boxing,BRONZE,10
United Kingdom,Wrestling,BRONZE,10
Romania,Athletics,BRONZE,10
China,Short Track Speed Skating,GOLD,10
France,Wrestling,BRONZE,10
New Zealand,Athletics,GOLD,10
Ireland,Boxing,BRONZE,10
Germany,Canoe Sprint,SILVER,10
United States,Snowboard,BRONZE,10
Belgium,Judo,BRONZE,10
Hungary,Canoe Sprint,BRONZE,10
Norway,Shooting,BRONZE,10
Unified Team,Athletics,SILVER,10
Canada,Swimming,GOLD,9
Russia,Judo,SILVER,9
United Kingdom,Shooting,GOLD,9
Germany,Equestrian Dressage,SILVER,9
Russia,Canoe Sprint,SILVER,9
Romania,Boxing,SILVER,9
Germany,Weightlifting,GOLD,9
Canada,Short Track Speed Skating,BRONZE,9
Germany,Wrestling,GOLD,9
Czechia,Gymnastics Artistic,BRONZE,9
Russia,Biathlon,GOLD,9
Italy,Judo,BRONZE,9
