converted_country_name,event_gender,medal_type,medal_count
Estonia,Men,GOLD,10
Netherlands,Open,SILVER,10
Cuba,Women,GOLD,10
Italy,Open,GOLD,10
Morocco,Men,BRONZE,10
Estonia,Men,SILVER,10
Brazil,Women,BRONZE,10
Georgia,Men,GOLD,10
Mexico,Men,GOLD,10
Slovakia,Men,SILVER,10
New Zealand,Women,SILVER,10
New Zealand,Women,BRONZE,9
Mongolia,Men,SILVER,9
Italy,Open,BRONZE,9
North Korea,Women,SILVER,9
North Korea,Men,GOLD,9
India,Men,BRONZE,9
Denmark,Open,SILVER,9
Azerbaijan,Women,BRONZE,9
New Zealand,Men,SILVER,9
Latvia,Men,BRONZE,8
MIX,Men,GOLD,8
Indonesia,Men,BRONZE,8
Russia,Mixed,SILVER,8
Slovenia,Men,BRONZE,8
Philippines,Men,BRONZE,8
Denmark,Women,SILVER,8
Norway,Open,SILVER,8
Armenia,Men,BRONZE,8
Armenia,Men,SILVER,8
Denmark,Women,GOLD,8
North Korea,Women,BRONZE,8
North Korea,Men,SILVER,8
Croatia,Women,GOLD,8
Sweden,Open,GOLD,8
Colombia,Men,BRONZE,8
Colombia,Women,BRONZE,8
New Zealand,Open,GOLD,7
Slovakia,Women,SILVER,7
Slovakia,Women,GOLD,7
Jamaica,Men,BRONZE,7
Croatia,Men,BRONZE,7
Colombia,Men,SILVER,7
Ireland,Men,SILVER,7
Belgium,Women,GOLD,7
Belarus,Men,GOLD,7
Kenya,Women,BRONZE,7
Kenya,Women,GOLD,7
Algeria,Men,BRONZE,7
Slovakia,Men,BRONZE,7
Egypt,Men,GOLD,7
South Africa,Women,GOLD,7
Greece,Women,SILVER,7
South Africa,Women,SILVER,7
Ethiopia,Men,SILVER,7
India,Men,SILVER,7
Thailand,Men,BRONZE,7
Morocco,Men,GOLD,6
Venezuela,Men,SILVER,6
Italy,Open,SILVER,6
Venezuela,Men,BRONZE,6
Uzbekistan,Men,SILVER,6
Mexico,Women,SILVER,6
India,Women,BRONZE,6
Indonesia,Women,BRONZE,6
Brazil,Women,SILVER,6
Portugal,Men,BRONZE,6
North Korea,Women,GOLD,6
Taiwan,Men,SILVER,6
Belgium,Open,BRONZE,6
Azerbaijan,Men,GOLD,6
Croatia,Men,GOLD,6
Puerto Rico,Men,BRONZE,6
Greece,Women,GOLD,6
